Are there null values ?,,,Claims with respect to Age :,,,Avergae BMI in each city :,,,Total number of employes per job title:,,,Percentage of gender:,,,Total claims for smokers/nonsmokers:,,,Avg Claims per Diabetic Patients:,,,Avg claims per excersisng people/non-excersisng:,,,Avg claim for number of policy holders and their counts:,,,,,Avg claims per job title and their counts :,,,,,Avg claims(highest and lowest) per state:,,,Avg claims per herdiatary disease:,
age,count(*),,61.0,24683,,Baltimore,31,,Actor,720,,female,51.0133,,0/Non-Smokers,105020038,,11655,14282,,0/Non-Excersisng,13796,,0,12337,6290,,,CEO,17027,384,,,Indianapolis,16125,,HeartDisease,43085
age,0,,64.0,23417,,Waterloo,31,,Engineer,374,,male,48.9867,,1/Smokers,96001526,,,,,1/Excersising,12034,,1,13108,3625,,,Architect,16711,365,,,Minneapolis,10742,,EyeDisease,41344
sex,0,,60.0,23107,,Tampa,31,,Academician,306,,,,,,,,,,,,,,2,15203,2721,,,Accountant,16320,368,,,,,,High BP,40670
weight,0,,29.0,19830,,PanamaCity,31,,Chef,281,,,,,,,,,,,,,,3,15527,1820,,,Journalist,16267,275,,,,,,Epilepsy,39938
bmi,0,,54.0,19716,,Atlanta,31,,HomeMakers,972,,,,,,,,,,,,,,4,13966,301,,,Manager,16043,602,,,,,,Diabetes,39649
hereditary_diseases,0,,62.0,19273,,AtlanticCity,31,,Dancer,693,,,,,,,,,,,,,,5,8553,243,,,ITProfessional,15686,348,,,,,,Obesity,39589
no_of_dependents,0,,43.0,19143,,Portland,31,,Singer,744,,,,,,,,,,,,,,,,,,,FilmMaker,15542,714,,,,,,Cancer,39511
smoker,0,,63.0,19006,,Indianapolis,31,,DataScientist,335,,,,,,,,,,,,,,,,,,,DataScientist,15422,335,,,,,,Alzheimer,37563
city,0,,59.0,18240,,Charleston,31,,Police,412,,,,,,,,,,,,,,,,,,,Clerks,15330,367,,,,,,Arthritis,34093
bloodpressure,0,,52.0,17595,,Orlando,31,,Student,1320,,,,,,,,,,,,,,,,,,,Lawyer,15226,309,,,,,,NoDisease,11539
diabetes,0,,44.0,17163,,Macon,31,,Doctor,294,,,,,,,,,,,,,,,,,,,Engineer,14561,374,,,,,,,
regular_ex,0,,53.0,17049,,Huntsville,31,,Manager,602,,,,,,,,,,,,,,,,,,,Dancer,14309,693,,,,,,,
job_title,0,,47.0,16713,,Nashville,31,,Photographer,400,,,,,,,,,,,,,,,,,,,Photographer,14289,400,,,,,,,
claim,0,,57.0,16693,,Bloomington,31,,Beautician,385,,,,,,,,,,,,,,,,,,,Buisnessman,14248,242,,,,,,,
,,,55.0,16603,,Warwick,31,,CA,272,,,,,,,,,,,,,,,,,,,HouseKeeper,14117,667,,,,,,,
,,,45.0,16554,,WashingtonDC,31,,Blogger,281,,,,,,,,,,,,,,,,,,,CA,14073,272,,,,,,,
,,,37.0,16216,,Mandan,31,,CEO,384,,,,,,,,,,,,,,,,,,,Actor,13944,720,,,,,,,
,,,51.0,15871,,Florence,31,,Labourer,210,,,,,,,,,,,,,,,,,,,Police,13773,412,,,,,,,
,,,46.0,15519,,Minot,31,,Accountant,368,,,,,,,,,,,,,,,,,,,Politician,13617,370,,,,,,,
,,,56.0,14881,,Lincoln,31,,FilmDirector,281,,,,,,,,,,,,,,,,,,,Singer,13537,744,,,,,,,
,,,48.0,14538,,Columbus,31,,Technician,283,,,,,,,,,,,,,,,,,,,Academician,13097,306,,,,,,,
,,,50.0,14336,,Rochester,31,,FashionDesigner,371,,,,,,,,,,,,,,,,,,,FashionDesigner,13080,371,,,,,,,
,,,58.0,14246,,JeffersonCity,31,,Architect,365,,,,,,,,,,,,,,,,,,,HomeMakers,13070,972,,,,,,,
,,,39.0,13700,,Escabana,31,,HouseKeeper,667,,,,,,,,,,,,,,,,,,,Doctor,12922,294,,,,,,,
,,,49.0,12718,,Youngstown,31,,FilmMaker,714,,,,,,,,,,,,,,,,,,,Beautician,12810,385,,,,,,,
,,,42.0,12419,,Eureka,31,,Buisnessman,242,,,,,,,,,,,,,,,,,,,Student,11186,1320,,,,,,,
,,,35.0,12364,,Denver,31,,Politician,370,,,,,,,,,,,,,,,,,,,FilmDirector,11135,281,,,,,,,
,,,22.0,12280,,Kingman,31,,DefencePersonnels,292,,,,,,,,,,,,,,,,,,,GovEmployee,9947,250,,,,,,,
,,,27.0,12249,,Providence,30,,Analyst,255,,,,,,,,,,,,,,,,,,,Farmer,9855,258,,,,,,,
,,,23.0,11512,,Harrisburg,30,,Clerks,367,,,,,,,,,,,,,,,,,,,DefencePersonnels,9576,292,,,,,,,
,,,36.0,11455,,Newport,30,,ITProfessional,348,,,,,,,,,,,,,,,,,,,Chef,9464,281,,,,,,,
,,,41.0,11443,,Stamford,30,,Farmer,258,,,,,,,,,,,,,,,,,,,Technician,9209,283,,,,,,,
,,,34.0,10977,,Worcester,30,,Journalist,275,,,,,,,,,,,,,,,,,,,Analyst,8788,255,,,,,,,
,,,33.0,10974,,Charlotte,30,,Lawyer,309,,,,,,,,,,,,,,,,,,,Blogger,8577,281,,,,,,,
,,,30.0,10915,,Louisville,30,,GovEmployee,250,,,,,,,,,,,,,,,,,,,Labourer,7944,210,,,,,,,
,,,24.0,10775,,Memphis,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,40.0,10582,,NewOrleans,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20.0,10354,,Raleigh,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19.0,10030,,Houston,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31.0,9931,,Georgia,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,32.0,9685,,Oklahoma,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28.0,9676,,Knoxville,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,38.0,9133,,Miami,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25.0,7815,,Kingsport,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26.0,7241,,Marshall,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18.0,7035,,FallsCity,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21.0,5825,,Cincinnati,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Salina,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,KanasCity,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Brookings,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Boston,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Phildelphia,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fargo,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Canton,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pittsburg,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Buffalo,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cambridge,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hartford,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Springfield,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SantaRosa,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Syracuse,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SanJose,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LosAngeles,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oxnard,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SanDeigo,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oceanside,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Carlsbad,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montrose,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prescott,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fresno,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Reno,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LasVegas,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Tucson,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SanLuis,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NewYork,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,York,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Bakersfield,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SilverCity,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pheonix,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SantaFe,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Lovelock,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cleveland,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbia,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Trenton,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SanFrancisco,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mexicali,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IowaCity,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minneapolis,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GrandForks,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Brimingham,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
